id,fips,statecode,state,state_notes,county,jail,jail_notes,d2008,d2009,d2010,d2011,d2012,d2013,d2014,d2015,d2016,d2017,d2018,d2019,su2008,su2009,su2010,su2011,su2012,su2013,su2014,su2015,su2016,su2017,su2018,su2019,da2008,da2009,da2010,da2011,da2012,da2013,da2014,da2015,da2016,da2017,da2018,da2019,il2008,il2009,il2010,il2011,il2012,il2013,il2014,il2015,il2016,il2017,il2018,il2019,o2008,o2009,o2010,o2011,o2012,o2013,o2014,o2015,o2016,o2017,o2018,o2019,ho2008,ho2009,ho2010,ho2011,ho2012,ho2013,ho2014,ho2015,ho2016,ho2017,ho2018,ho2019,ac2008,ac2009,ac2010,ac2011,ac2012,ac2013,ac2014,ac2015,ac2016,ac2017,ac2018,ac2019,adp2008,adp2009,adp2010,adp2011,adp2012,adp2013,adp2014,adp2015,adp2016,adp2017,adp2018,adp2019,med2008,med2009,med2010,med2011,med2012,med2013,med2014,med2015,med2016,med2017,med2018,med2019
1,1003,AL,Alabama,,Baldwin,Baldwin County Corr. Center,,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,601,551,555,618,662,592,584,538,540,540,595,public,public,public,public,public,public,public,public,public/Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care
2,1015,AL,Alabama,,Calhoun,Calhoun County Jail,,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,531,555,532,468,445,405,440,447,514,565,503,public,public,public,public,public,public,public,public/Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care/Southern Health Partners,Southern Health Partners,Southern Health Partners
3,1055,AL,Alabama,,Etowah,Etowah County Detention Center,,0,0,0,2,0,1,0,0,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,2,0,1,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,917,853,808,820,788,840,787,722,723,857,965,,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,
4,1069,AL,Alabama,,Houston,Houston County Jail,,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,496,569,334,370,330,354,288,298,282,318,370,public,public,public,public,public,public,public,public,public,public,public,public
5,1073,AL,Alabama,,Jefferson,Jefferson County Birmingham Jail,ADP for 2008 was based on data provided by the jail to the U.S. Bureau of Justice Statistics. ,,,,,,1,2,0,0,0,2,5,,,,,,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,1,,,,,,1,2,0,0,0,2,2,,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,1200,976,1189,1189,1331,1306,1050,790,744,777,1038,1025,Health Assurance,Health Assurance,Health Assurance,Health Assurance/Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare
13,1081,AL,Alabama,,Lee,W.S. Buck Jones Detention Center,,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,348,386,407,387,395,395,397,360,389,398,356,public,public,public,public,public,public,public,public,public,public,public,public
7,1089,AL,Alabama,,Madison,Madison County Detention Facility,ADP for 2019 averaged from 2016-2018,0,0,0,2,2,3,0,1,0,1,0,5,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,2,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,,934,977,1020,935,987,982,914,825,847,864,958,890,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare/Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners
8,1095,AL,Alabama,,Marshall,Marshall County Jail,,0,2,0,1,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,220.81,220.56,214.67,221.79,212.46,230.93,242.17,222.36,220.64,238.81,260.35,,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners/Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare/Southern Health Partners
9,1097,AL,Alabama,,Mobile,Mobile County Metro Jail,,0,1,0,0,0,0,0,1,3,1,1,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,1500,1450,1482,1738,1738,1411,1265,1098,1116,1445,1609,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,"NaphCare, Inc.","NaphCare, Inc.","NaphCare, Inc.","NaphCare, Inc.","NaphCare, Inc.","NaphCare, Inc."
6,1101,AL,Alabama,,Montgomery,Mac Sim Butler Montgomery County Detention Facility,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,658,627,511,526,626,608,600,564,550,603,632,602,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care
