,id,fips,statecode,state,state_notes,county,jail,jail_notes,d2008,d2009,d2010,d2011,d2012,d2013,d2014,d2015,d2016,d2017,d2018,d2019,su2008,su2009,su2010,su2011,su2012,su2013,su2014,su2015,su2016,su2017,su2018,su2019,da2008,da2009,da2010,da2011,da2012,da2013,da2014,da2015,da2016,da2017,da2018,da2019,il2008,il2009,il2010,il2011,il2012,il2013,il2014,il2015,il2016,il2017,il2018,il2019,o2008,o2009,o2010,o2011,o2012,o2013,o2014,o2015,o2016,o2017,o2018,o2019,ho2008,ho2009,ho2010,ho2011,ho2012,ho2013,ho2014,ho2015,ho2016,ho2017,ho2018,ho2019,ac2008,ac2009,ac2010,ac2011,ac2012,ac2013,ac2014,ac2015,ac2016,ac2017,ac2018,ac2019,adp2008,adp2009,adp2010,adp2011,adp2012,adp2013,adp2014,adp2015,adp2016,adp2017,adp2018,adp2019,med2008,med2009,med2010,med2011,med2012,med2013,med2014,med2015,med2016,med2017,med2018,med2019,male_deaths,female_deaths,male_percent,female_percent
0,1,1003.0,AL,Alabama,,Baldwin,Baldwin County Corr. Center,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,601.0,551.0,555.0,618.0,662.0,592.0,584.0,538.0,540.0,540.0,595.0,public,public,public,public,public,public,public,public,public/Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,0,0,,
1,2,1015.0,AL,Alabama,,Calhoun,Calhoun County Jail,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,531.0,555.0,532.0,468.0,445.0,405.0,440.0,447.0,514.0,565.0,503.0,public,public,public,public,public,public,public,public/Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care/Southern Health Partners,Southern Health Partners,Southern Health Partners,3,0,1.0,0.0
2,3,1055.0,AL,Alabama,,Etowah,Etowah County Detention Center,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,917.0,853.0,808.0,820.0,788.0,840.0,787.0,722.0,723.0,857.0,965.0,,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,Doctors' Care Family Medical Services,,0,0,,
3,4,1069.0,AL,Alabama,,Houston,Houston County Jail,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,496.0,569.0,334.0,370.0,330.0,354.0,288.0,298.0,282.0,318.0,370.0,public,public,public,public,public,public,public,public,public,public,public,public,5,1,0.8333333333333334,0.16666666666666666
4,5,1073.0,AL,Alabama,,Jefferson,Jefferson County Birmingham Jail,ADP for 2008 was based on data provided by the jail to the U.S. Bureau of Justice Statistics. ,,,,,,1.0,2.0,0.0,0.0,0.0,2.0,5.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1.0,2.0,0.0,0.0,0.0,2.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,976.0,1189.0,1189.0,1331.0,1306.0,1050.0,790.0,744.0,777.0,1038.0,1025.0,Health Assurance,Health Assurance,Health Assurance,Health Assurance/Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,4,1,0.8,0.2
5,13,1081.0,AL,Alabama,,Lee,W.S. Buck Jones Detention Center,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,348.0,386.0,407.0,387.0,395.0,395.0,397.0,360.0,389.0,398.0,356.0,public,public,public,public,public,public,public,public,public,public,public,public,4,0,1.0,0.0
6,7,1089.0,AL,Alabama,,Madison,Madison County Detention Facility,ADP for 2019 averaged from 2016-2018,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,934.0,977.0,1020.0,935.0,987.0,982.0,914.0,825.0,847.0,864.0,958.0,890.0,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare/Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,5,2,0.7142857142857143,0.2857142857142857
7,8,1095.0,AL,Alabama,,Marshall,Marshall County Jail,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,220.81,220.56,214.67,221.79,212.46,230.93,242.17,222.36,220.64,238.81,260.35,,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners,Southern Health Partners/Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare,Advanced Correctional Healthcare/Southern Health Partners,5,0,1.0,0.0
8,9,1097.0,AL,Alabama,,Mobile,Mobile County Metro Jail,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,1500.0,1450.0,1482.0,1738.0,1738.0,1411.0,1265.0,1098.0,1116.0,1445.0,1609.0,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,Corizon Health ,"NaphCare, Inc.","NaphCare, Inc.","NaphCare, Inc.","NaphCare, Inc.","NaphCare, Inc.","NaphCare, Inc.",8,1,0.8888888888888888,0.1111111111111111
9,6,1101.0,AL,Alabama,,Montgomery,Mac Sim Butler Montgomery County Detention Facility,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,658.0,627.0,511.0,526.0,626.0,608.0,600.0,564.0,550.0,603.0,632.0,602.0,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,Quality Correctional Health Care,0,0,,
